ime,oznaka,tezavnost,avtor,stevilo_sestavin,cas_priprave,cas_kuhanja,skupni_cas,dolzina_navodil,energija_100g,energija_porcija
Sladoledne kroglice s kokosom,Zabava,1,M. J.,2,30,,30,569,249.78,562.0
Grški jogurt z granolo in figami,Zdravo in vegi,1,M. J.,4,10,,10,325,91.37,193.25
Zapečene testenine s tuno in grahom,Testenine in žita,1,M. J.,11,15,50,65,843,277.19,755.75
Pečena zelenjava po provansalsko,Poletje,1,M. J.,9,20,70,90,1106,72.71,198.67
Limetin cheesecake,Zabava,1,M. J.,14,30,70,100,1573,335.33,456.25
Piščančja stegna z limono in rožmarinom,Slovenska,1,M. J.,6,10,24,34,1204,172.18,223.83
Grški jogurt z malinovo omako,Poletje,1,M. J.,4,10,5,15,743,51.87,26.0
Lazanja z gobami,Italijanska,1,M. J.,16,40,60,100,2177,125.83,512.0
Svinjski kotleti s češnjevo omako,Meso,1,M. J.,11,10,16,26,1325,168.84,310.25
Marelična pita s frangipanom,Poletje,2,M. J.,14,105,75,180,1795,372.0,752.38
Špageti z blitvo in kozjim sirom,Vegetarijanstvo,1,M. J.,8,10,15,25,1252,218.23,598.5
Namaz iz pečenih jajčevcev,Vegetarijanstvo,1,M. J.,10,15,15,30,1663,140.0,140.0
Pečene paprike s tuninim nadevom,Poletje,1,M. J.,13,20,30,50,1103,125.78,283.0
Veganska čokoladna krema,Slovenska,1,M. J.,5,40,5,45,882,290.87,560.0
Piščančji trakovi s češnjevimi paradižniki in mocarelo,Poletje,1,M. J.,6,10,30,40,623,156.27,402.0
Narastek z bučkami in sirom,Poletje,1,M. J.,8,15,55,70,980,107.88,319.75
Kremast vanilijev sladoled z medom,Poletje,1,M. J.,8,200,5,205,1168,347.28,256.0
Galeta s čebulo in lisičkami,Jesen,2,M. J.,10,45,60,105,1896,207.29,504.25
Clafoutis z borovnicami,Slovenska,1,M. J.,10,10,20,30,860,196.22,212.25
Ocvrti lignji s česnovo majonezo,Zabava,2,M. J.,7,10,15,25,1099,226.03,238.83
Peresniki s paradižnikom in jajčevcem,Italijanska,1,M. J.,10,45,20,65,1531,158.33,558.5
Zelo rahle mesne kroglice,Meso,1,M. J.,11,15,35,50,930,194.76,390.17
Borovničev chia puding s cimetom,Zdravo in vegi,1,M. J.,6,15,,15,652,165.43,334.17
Hrustljavi piščančji koščki s pestom,Meso,1,M. J.,4,10,15,25,969,211.91,582.75
Cheesecake z belo čokolado,Zabava,2,M. J.,7,20,60,80,1834,397.38,562.4
Namaz iz indijskih oreščkov,Zdravo in vegi,1,M. J.,6,10,,10,1130,529.79,386.75
"Skutna tortica, karamelna omaka, solata iz jagod in kumare",MasterChef,2,Darko Klemen,18,40,20,60,793,248.67,1100.0
"Jabolčni mousse, pomarančna pena, beljakova meringa, karamelni sladoled",MasterChef,3,Matej Zupančič,19,40,20,60,1008,149.93,359.33
"Goveji file z gosjimi jetri, tartufovo omako in dimljeno zeleno polento",MasterChef,2,Darko Klemen,17,40,30,70,1094,232.6,1205.0
"Brancinov file na beluševi kremi, zapečen krompir, sotirana zelenjava",MasterChef,2,Matej Zupančič,12,20,40,60,553,61.45,281.67
Sodobna solata,MasterChef,2,Matej Zupančič,11,60,30,90,822,134.41,498.67
"Tunin tatar s pikantim gazpachom, ajdovi blini z baziliko, dimljeno maslo",MasterChef,2,Darko Klemen,18,25,15,40,782,142.49,532.67
Pečena poletna zelenjava z mocarelo,Poletje,1,M. J.,6,12,40,52,744,106.58,198.5
Maroške puranje kroglice,Kuhinje,1,M. J.,11,15,15,30,653,,
Darkov pokal,MasterChef,2,Darko Klemen,24,45,30,75,2236,282.67,866.8
Sirov narastek,MasterChef,2,MasterChef,8,15,35,50,596,271.09,332.25
Panakota s tekočo jagodno sredico,Pomlad,2,MasterChef,8,45,5,50,889,215.25,151.0
"Zajčji file z jastogovo omako, krompirjevo kremo in ocvrtimi gobami",MasterChef,2,Darko Klemen,19,30,20,50,1104,131.87,380.0
Pečeni tajski zvitki s puranom,Azijska,1,M. J.,8,20,15,35,1157,220.1,71.17
Rabarbarin drobljenec,Pomlad,1,M. J.,8,15,45,60,1333,233.33,554.75
Sladica po domače,MasterChef,1,Lovro Miler,14,15,10,25,506,229.1,263.75
Piščančji zvitki s pomako iz kisle smetane,Piknik in žar,1,M. J.,7,10,4,14,1244,148.53,430.0
Hiter kruh z bučkami in feto,Slovenska,1,M. J.,11,20,60,80,1125,215.46,333.17
Lepljiva svinjska potrebušina,Meso,2,M. J.,8,12,210,222,1470,412.82,1811.25
"V pršut ovite nadevane piščančje prsi, tortelini in smetanova omaka",MasterChef,1,Lovro Miler,11,10,25,35,789,197.64,440.25
Paradižnikova juha z bučkami in šparglji,MasterChef,1,Lovro Miler,16,10,20,30,873,70.7,240.25
Osnovni recept za macaronse,Zabava,3,M. J.,7,30,16,46,1178,370.21,208.8
V slanino in čemaž oviti zvitki z mletimi pljuči,MasterChef,2,Darko Klemen,25,15,30,45,743,96.66,285.5
Baklava z maskarponejevo kremo in sadnim pirejem,MasterChef,2,Jelena Vadnjal,37,15,30,45,1862,263.11,952.75
"Piščančja farsa z začimbami, zelenina krema in rdeče zelje z ajdovo kašo",MasterChef,2,Darko Klemen,24,15,30,45,1141,188.05,575.75
Veganski browniji s češnjami,Veganstvo,1,M. J.,12,15,45,60,1189,468.49,263.92
Čokoladni smoothie s češnjami,Zdravo in vegi,1,M. J.,6,5,,5,324,213.74,257.0
Mille feuille,Polona ga žge,2,Polona Požgan,9,20,16,36,1080,346.97,572.5
Slovenska pojedina,MasterChef,1,Lovro Miler,36,15,30,45,1490,161.03,639.5
Raviol s krvavico in kislim zeljem,MasterChef,2,Matej Zupančič,16,15,20,35,837,144.38,404.25
Nadevani šampinjoni s piščancem in sladkim krompirjem,MasterChef,1,Jelena Vadnjal,10,10,20,30,1054,213.33,111.4
Pašteta iz sušenih paradižnikov na popečeni tortilji,MasterChef,1,Jelena Vadnjal,11,10,10,20,900,213.41,201.75
Polžkov vrtiljak,MasterChef,1,Darko Klemen,11,10,20,30,582,202.12,159.8
Morski prigrizek,MasterChef,1,Darko Klemen,11,15,10,25,485,78.03,47.6
Sladki špageti bolognese,MasterChef,2,Jelena Vadnjal,25,25,20,45,1881,399.0,4069.0
Brezglutenski zelenjavni bolognese,MasterChef,1,Darko Klemen,16,15,30,45,848,91.55,760.0
"Rižota s krvavico, piščanec s hrustljavo skorjico in sotirana zelenjava",MasterChef,2,Matej Zupančič in Kamala,31,15,30,45,1135,260.38,3228.0
Zelenjavna rižota,Moja mama kuha bolje!,1,Alenka Naber,12,10,25,35,444,63.26,114.5
Snežne kepe,Polona ga žge,2,Polona Požgan,9,30,20,50,1683,122.66,469.5
Prekajena vratovina in bučke v smetanovi omaki,Moja mama kuha bolje!,1,Sladjana Missia Colnarić,7,5,15,20,412,127.85,314.5
Piščanec v listnatem testu z maslenim rižem,Moja mama kuha bolje!,1,Marija Kapl,10,10,20,30,592,184.98,585.0
Pečene polnjene paprike z brie omako,Moja mama kuha bolje!,1,Veronika Stopar,13,10,20,30,784,141.47,566.25
Testenine z dimljenim lososom in avokadom,Moja mama kuha bolje!,1,Veronika Stopar,10,10,15,25,576,203.82,733.75
Pišče namašeno z raki,MasterChef,2,Luka Jezeršek,17,30,60,90,1705,167.36,620.67
Svinjska ribica z mandlji in korenčkov pire,Moja mama kuha bolje!,1,Vesna Renko,11,20,10,30,522,113.01,534.0
Klapavice v paradižnikovi omaki,Moja mama kuha bolje!,1,Ivica Milat,9,10,15,25,473,103.23,662.75
Žličniki z gozdnimi sadeži,Moja mama kuha bolje!,1,Ivica Milat,7,15,10,25,523,108.66,263.5
Bučna kremna juha,Moja mama kuha bolje!,1,Fani Pančur,9,10,20,30,492,46.26,131.25
Jabolčni zavitek s karamelno dekoracijo,MasterChef,1,Jelena Vadnjal,5,10,25,35,1154,65.77,390.0
"Cvetačni mousse, artičokini žepki in popečen tofu",MasterChef,2,Kamala,12,15,30,45,1319,131.79,201.0
"Dušena jabolka z drobljencem, tapioko in sladoledom",MasterChef,2,MasterChef,22,15,30,45,990,291.62,664.0
Mesna plošča s krompirjevimi tartufi,MasterChef,2,MasterChef,14,15,40,55,1341,89.68,322.88
Zavitek z borovnicami in domačo skuto,Polona ga žge,2,Polona Požgan,13,35,45,80,1109,263.17,517.88
Zelena juha s pastinakovim pirejem,MasterChef,1,MasterChef,13,10,25,35,634,49.44,166.38
Riževi rezanci s svinjino in zelenjavo,Moja mama kuha bolje!,1,Fani Pančur,10,10,20,30,463,174.11,635.5
Govedina po mongolsko,Moja mama kuha bolje!,1,Fani Pančur,10,5,20,25,394,143.81,386.5
Zelenjavni kuskus z ocvrtim piščancem,Moja mama kuha bolje!,1,Mojca Rotar,13,10,20,30,588,213.44,691.0
Bela rižota s škampi,Moja mama kuha bolje!,1,Barbara Koprivc,12,5,25,30,478,174.31,518.75
Božanski losos,Moja mama kuha bolje!,1,Barbara Koprivc,8,10,20,30,545,198.93,557.0
Slovensko-azijska enolončnica,Polona ga žge,1,Polona Požgan,30,15,45,60,1873,65.92,314.0
Zvitki s korenčkom in vijoličnim krompirjem z omako iz česna in ingverja,MasterChef,2,Nina Berginc,25,20,40,60,2005,71.98,641.75
Steak s cvetačnim pirejem,Moja mama kuha bolje!,1,Barbara Koprivc,7,10,20,30,431,121.49,347.0
Grahova juha s kruhovimi kockami in bananin carski praženec,Moja mama kuha bolje!,1,Barbara Koprivc,18,10,20,30,912,205.22,870.75
Limonina pita s sadjem,Polona ga žge,2,Polona Požgan,12,50,50,100,1381,279.32,692.38
Bučkine polpete z rikotino omako,Moja mama kuha bolje!,1,Barbara Koprivc,15,15,10,25,444,142.32,338.0
Ajdovi krapi z gobovo omako,Moja mama kuha bolje!,1,Marija Breznik,15,15,15,30,638,146.75,581.5
Svinjska ribica v brinovi omaki s kipniki,Moja mama kuha bolje!,1,Fani Kosmač,13,15,15,30,742,177.57,481.75
"Sarmice z ajdovo kašo in ingverjem, krema iz črnega korena in košarice z riževimi rezanci",MasterChef,2,Darko Klemen,29,20,20,40,1260,101.77,614.0
Piščančja rulada s korenjem in blitvo na kostanjevem pireju,MasterChef,2,Darko Klemen in Tomaž Goršič,11,30,30,60,1511,82.61,233.5
"Nadevane piščančje prsi, pire iz sladkega krompirja in čebule ter sotirana zelenjava",MasterChef,2,Lovro Miler in Matej Zupančič,18,30,30,60,1233,135.68,1106.0
Losos z zelenjavo v škrniclju,Polona ga žge,1,Polona Požgan,13,15,20,35,1338,108.31,299.5
Losos s porovim pirejem,Moja mama kuha bolje!,1,Fani Kosmač,11,10,25,35,669,660.15,27399.5
Svinjski file z zeliščno skorjico in popraženo zelenjavo,Moja mama kuha bolje!,1,Jasmina Dominko,11,10,20,30,619,138.56,530.0
Hitri chili z domačimi tortiljami,Moja mama kuha bolje!,1,Jasmina Dominko,15,20,10,30,730,140.42,417.75
Svinjske polpete s krompirjevim čipsom,Moja mama kuha bolje!,1,Marina Modrinjak,9,15,20,35,740,131.74,530.25
Pečena vratovina z jurčki in špinačnimi rezanci,Moja mama kuha bolje!,1,Marina Modrinjak,8,10,25,35,602,193.36,672.0
Bučna juha in solnograški žličniki,Moja mama kuha bolje!,1,Nives Vuga,15,20,30,50,1080,146.99,757.75
Chilli con carne,Moja mama kuha bolje!,1,Nives Vuga,11,15,30,45,371,111.41,444.25
Munchmellow mango,MasterChef,3,MasterChef,20,30,15,45,1265,315.35,599.8
Idrijski žlikrofi,MasterChef,2,MasterChef,9,50,15,65,1147,198.92,220.8
Mamin burger z ocvrtim krompirčkom,Moja mama kuha bolje!,1,Nives Vuga,16,15,20,35,824,187.18,1008.5
Jagnjetina s testeninami in zelenjavo,Moja mama kuha bolje!,1,Jasna Plut,12,10,15,25,959,182.94,611.5
Losos s kuskusom,Moja mama kuha bolje!,1,Jasna Plut,10,10,15,25,857,161.7,689.25
"Steak s pikantno omako, zelenjavno in sadno prilogo",MasterChef,2,MasterChef,23,,,,1757,138.31,401.5
Ravioli s skuto na špargljevi omaki,Polona ga žge,2,Polona Požgan,15,60,10,70,1002,128.57,602.75
"Ciabatta s pikantnim namazom, popečenim piščancem, rukolo in mocarelo",MasterChef,1,Luka Korenčič,11,15,15,30,877,263.29,2159.0
"Sendvič s čatnijem, pečeno panceto, zelenjavo in prepeličjim jajcem",MasterChef,1,Lovro Miler,24,15,15,30,1727,164.95,786.5
Kamalin vegi sendvič,MasterChef,1,Kamala,15,15,15,30,1346,175.4,2431.0
Brancinov file na topinamburjevem pireju s parmezanovo omako,MasterChef,1,Matej Zupančič in Anka Alt,14,20,40,60,1133,158.01,938.0
Svinjska in ohrovtova rulada na posteljici iz zelenjavnega pireja,MasterChef,2,Luka Korenčič in Tomaž Goršič,15,30,30,60,1516,142.67,1167.5
Mafin s pomarančno čokolado in hrustljavo panceto,MasterChef,1,Lovro Miler,12,10,25,35,796,372.72,431.5
"Mafin s temno čokolado, prepraženimi bučnimi semeni in soljo",MasterChef,1,Matej Zupančič,13,15,20,35,694,525.85,713.25
Kozice na nabodalih,Moja mama kuha bolje!,1,Katarina Rupnik,10,10,20,30,570,137.06,331.0
Bučkine polpete s pirejem,Moja mama kuha bolje!,1,Katarina Rupnik,11,10,25,35,817,139.92,425.0
Takitosi s česnovo omako,Moja mama kuha bolje!,1,Katarina Rupnik,10,15,10,25,493,199.98,219.0
Pisana nabodala z ocvrtim krompirčkom,Moja mama kuha bolje!,1,Irena Harl,9,15,15,30,543,111.02,599.5
Vanilijeva zmrzlina z bučnimi semeni,Polona ga žge,2,Polona Požgan,10,30,20,50,1576,352.93,451.75
Polpete iz bučk z ovsenimi kosmiči,Moja mama kuha bolje!,1,Marija Žužek,10,10,15,25,388,102.88,187.75
Razstavljen jabolčni štrudelj z vanilijevo kremo in slano karamelo,MasterChef,1,MasterChef,19,20,20,40,1733,285.74,696.75
Popečena postrv s polento in koromačevo-skutno solato,MasterChef,2,MasterChef,18,20,40,60,1731,152.22,266.63
S suhim sadjem nadevana dimljena šunka,Polona ga žge,1,Polona Požgan,20,20,120,140,1334,121.81,573.17
Jabolčna terina,Jesen,2,D. O.,3,30,210,240,1420,83.62,109.75
Testenine s hokaido bučo in slanino,Moja mama kuha bolje!,1,Elisangela Sandez Klarič,6,5,15,20,516,418.18,747.5
Losos s špinačo in gobicami,Moja mama kuha bolje!,1,Elisangela Sandez Klarič,8,8,12,20,720,148.76,601.0
Pečeni hruškovi mošnjički z gelom kuhanega vina,Polona ga žge,2,Polona Požgan,9,80,38,118,1255,326.51,438.75
"S tuno, skuto in smetano polnjene palačinke",Moja mama kuha bolje!,1,Elisangela Sandez Klarič,9,15,20,35,425,179.03,452.25
Svinjska ribica z ananasom,Moja mama kuha bolje!,1,Elisangela Sandez Klarič,8,5,15,20,601,119.97,240196.75
Cvetačne polpete,Moja mama kuha bolje!,1,Elisangela Sandez Klarič,8,15,15,30,576,118.67,222.5
Pečena goveja jetrca s čebulo in tržaško omako,Moja mama kuha bolje!,1,Bernarda Oblak,6,15,8,23,777,117.86,179.75
Škampi z belim rižem,Moja mama kuha bolje!,1,Nina Irt,11,15,18,33,1010,188.55,650.5
Piščančje ruladice s pršutom in rižem,Moja mama kuha bolje!,1,Biserka Vugrinec,9,15,20,35,591,240.18,555.0
Ocvrt sir s tatarsko omako in ocvrtim krompirčkom,Moja mama kuha bolje!,1,Biserka Vugrinec,13,10,20,30,708,189.68,777.75
Sladko-kisla govedina s koruznimi ocvrtki,MasterChef,1,Tomaž Goršič,16,15,15,30,952,170.19,620.0
Pečena račka z rižem in popečeno zelenjavo v omaki,MasterChef,1,Jelena Vadnjal,19,15,15,30,945,181.41,612.5
"Pica s svežo tuno, koromačem, mangom in oreščki",MasterChef,2,Diego Barrios Ross,15,25,20,45,904,233.03,903.0
"Havajska pica z rakci, mečarico, panceto in eksotičnim sadjem",MasterChef,2,Igor Mizdaris,13,30,12,42,1056,153.35,1121.0
Quiche s piščancem in gomoljno zelenjavo ter gosta piščančja juha,MasterChef,2,Darko Klemen,25,20,40,60,1620,150.36,562.0
Quiche s šparglji in špehom ter špargljeva kremna juha,MasterChef,2,Valentina Žerjal,24,20,40,60,1978,126.87,506.75
"Quiche z bučo, slanino in špinačo ter gosta juha z bučo in hrustljavčki",MasterChef,2,Matej Zupančič,23,20,40,60,1231,184.09,2597.0
Tunina pašteta s pistacijo,Polona ga žge,1,Polona Požgan,7,15,3,18,446,253.45,294.0
"Skutna torta z jagodami, borovnicami in pomarančno lupinico",MasterChef,3,MasterChef,30,120,45,165,3652,268.39,444.8
Lososov zvitek s šparglji in špinačnimi rezanci,MasterChef,2,Oriana Girotto in Valentina Žerjal,11,15,30,45,1367,133.12,1298.0
Mehiška pojedina,MasterChef,2,Tomaž Goršič,15,15,30,45,1453,51.54,578.0
Popolna jajčna omleta z zelenjavo,Polona ga žge,2,Polona Požgan,6,10,20,30,1041,100.74,408.0
Pečena Aljaska (baked Alaska),MasterChef,3,MasterChef,9,150,20,170,1073,238.71,249.75
Tarte Tatin,MasterChef,2,MasterChef,11,15,30,45,1570,165.87,460.0
Pečenice s kislo repo in praženim krompirjem,Moja mama kuha bolje!,1,Magda Oletič,9,10,30,40,703,111.17,1025.0
Telečji curry z brstičnim ohrovtom,Moja mama kuha bolje!,1,Branka Glumac,10,10,20,30,590,142.74,339.0
Paštašuta,Moja mama kuha bolje!,1,Natalija Pivk,17,15,40,55,876,176.01,689.75
Testenine po azijsko,Moja mama kuha bolje!,1,Raba Kajević,5,10,15,25,611,243.94,634.25
Nadevane piščančje prsi,Moja mama kuha bolje!,1,Raba Kajević,8,10,20,30,432,81.64,172.25
Ribji file s česnovim prelivom in kuhanim krompirjem,Moja mama kuha bolje!,1,Mojca Žgavc,11,10,20,30,995,126.77,641.75
"Rožmarinova, orehova in maslena bageta",Polona ga žge,2,Polona Požgan,7,600,20,620,1253,352.14,471.25
Popečen losos na koromačevi kremi,MasterChef,2,Tomaž Goršič in Kamala Gjorgjievska,12,20,25,45,962,146.08,615.0
Losos z dvema pirejema in malinovo omako,MasterChef,2,Darko Klemen in Luka Korenčič,15,20,25,45,1338,85.78,929.0
Rumova krema z malinovo omako,MasterChef,2,MasterChef,14,15,15,30,832,170.34,177.63
Telečja rižota z zelenjavo in vinsko omako,MasterChef,1,MasterChef,14,15,30,45,1749,151.99,413.25
Piščančja rulada z blitvino rižoto,MasterChef,2,Nina Berginc,16,20,40,60,1659,53.19,420.25
Čokoladna tortica v skodelici,Zdravo in vegi,1,Anja Suska,7,2,1,3,359,273.11,325.0
Piščančje prsi na azijski način,MasterChef,1,Kamala,17,15,45,60,971,251.99,411.5
Goveji steak z zelišči,MasterChef,2,Lovro Miler in Oriana Girotto,17,15,30,45,1369,183.04,1675.0
Kurentov morski jezik,MasterChef,2,Igor Mizdaris in Valentina Žerjal,12,20,20,40,1236,102.65,737.0
Mariborska župa,MasterChef,2,Darko Klemen,40,20,40,60,1008,43.51,289.0
Riž z rakci,MasterChef,1,Anka Alt,13,15,20,35,679,114.44,258.0
Ajdovi rezanci po kraško,Moja mama kuha bolje!,1,Irena Bobnar,11,10,15,25,743,298.06,637.25
Pečenice s kislim zeljem in polento,Moja mama kuha bolje!,1,Milena Knez,9,5,30,35,1132,221.33,928.5
Paleo kruh z oreščki in suhim sadjem,Zdravo in vegi,1,M. J.,8,15,40,55,998,372.39,546.33
Jagnječje kroglice v tahinijevi omaki,Kuhinje,1,M. J.,20,15,35,50,1110,273.43,643.0
Sirove palačinke,Moja mama kuha bolje!,1,Ana Žvorc,14,10,12,22,491,166.92,434.25
Sadna prosena kaša z jabolčno čežano,Moja mama kuha bolje!,1,Janja Petrič,9,10,20,30,945,170.75,334.25
Svinjska ribica s feto in slanino,Moja mama kuha bolje!,1,Janja Petrič,8,15,15,30,939,126.5,522.75
Losos z zelenjavo in pinjolami,Moja mama kuha bolje!,1,Janja Petrič,8,5,15,20,681,217.62,549.5
Rižota z morskimi sadeži,Moja mama kuha bolje!,1,Janja Petrič,9,5,20,25,524,222.75,594.75
Curryjeva čorbica,Moja mama kuha bolje!,1,Janja Petrič,10,10,20,30,496,264.71,340.25
Čufti v paradižnikovi omaki s pirejem,Moja mama kuha bolje!,1,Fani Omeradžič,12,10,25,35,965,159.86,649.25
Ocvrte piščančje palčke s hladno česnovo omako,Moja mama kuha bolje!,1,Mojca Bombek,15,15,15,30,718,165.28,521.5
Mesni spomladanski zavitki,Azijska,2,M. J.,14,40,30,70,1896,240.17,229.17
Testenine s preprostim govejim ragujem,Italijanska,1,M. J.,16,15,150,165,1365,227.65,727.5
Borovničevo-kokosovi mafini,Zabava,1,M. J.,9,10,20,30,1936,358.78,134.33
Cappuccino cheesecake,Valentinovo,2,M. J.,12,40,55,95,2082,325.65,634.75
Ocvrta jabolka,Moja mama kuha bolje!,1,Maja Merhar,9,10,20,30,611,89.38,137.25
Testenine z zelenjavo,Moja mama kuha bolje!,1,Vesna Klinc,9,5,15,20,603,207.41,496.75
Ajdova kaša z jurčki in kranjsko klobaso,Moja mama kuha bolje!,1,Vesna Klinc,9,5,25,30,580,287.87,362.0
Račje prsi s karameliziranimi jabolki,Moja mama kuha bolje!,1,Vesna Klinc,8,5,15,20,602,134.23,425.5
Gubana,Velika noč,3,M. J.,22,150,60,210,2181,438.73,572.67
Klapavice na buzaro,Balkanska,1,M. J.,7,5,15,20,1394,134.33,351.0
Pečeni orehovi štrukeljčki,Slovenska,2,M. J.,14,100,20,120,1524,434.7,704.83
Čokoladna pita s karamelno kremo,Zabava,2,M. J.,17,90,45,135,1589,449.56,356.83
Pesina solata z dimljeno postrvjo,Moja mama kuha bolje!,1,Vesna Klinc,9,15,3,18,575,356.34,302.0
Jetrca s slanino in krompirjem,Moja mama kuha bolje!,1,Vesna Klinc,8,10,20,30,473,104.46,532.75
Rižota z bučo in čičeriko,Moja mama kuha bolje!,1,Vesna Klinc,8,10,25,35,504,122.44,514.25
"Vratovina s česnom, sirom in smetano",Moja mama kuha bolje!,1,Lili Avguštin,8,10,25,35,643,125.75,427.8
Špinača s pohanimi šnitami in jajcem na oko,Moja mama kuha bolje!,1,Lili Avguštin,11,10,25,35,681,149.9,438.5
Krompirjevi žganci s čebulo in ocvirki,Moja mama kuha bolje!,1,Lili Avguštin,10,5,25,30,1046,86.4,332.0
Polnjene bučke,Moja mama kuha bolje!,1,Martina Štih,6,10,30,40,585,120.38,240.75
Široki rezanci s tunino omako,Moja mama kuha bolje!,1,Marinka Bonin,6,5,15,20,541,141.94,365.5
Rižota po primorsko,Moja mama kuha bolje!,1,Marinka Bonin,13,5,30,35,791,160.73,364.25
Piščančji kari z rižem,Moja mama kuha bolje!,1,Zdenka Bregar,18,10,25,35,662,156.69,413.75
Njoki z mletim mesom in brokolijem,Moja mama kuha bolje!,1,Anka Mergole,12,10,25,35,548,114.09,409.5
Mesne kroglice s polento,Moja mama kuha bolje!,1,Anka Mergole,11,10,25,35,622,155.04,503.5
Palačinke brez jajc,Zdravo in vegi,1,M. J.,8,30,15,45,1239,332.88,182.25
Čokoladno-orehove lunice,Sladice,2,M. J.,15,60,30,90,1259,464.15,729.92
Cvetača s prepraženimi drobtinami,Slovenska,1,M. J.,4,10,15,25,415,150.73,138.17
Miške s skuto,Pust,1,M. J.,11,15,30,45,1452,210.29,702.5
Sirove palčke s sezamom,Zabava,1,M. J.,12,20,15,35,782,270.29,348.0
Piščančja obara z zeliščnimi cmočki,Zima,2,M. J.,21,15,45,60,1595,174.32,667.25
Zeljna solata z račjimi prsmi,Slovenska,1,M. J.,5,15,20,35,1472,181.87,318.5
Nutella cheesecake,Zabava,1,M. J.,11,270,,270,1251,425.29,1000.0
Špinačni špecli s smetano in šunko,Slovenska,2,M. J.,11,20,15,35,1399,205.23,455.25
Pečen avokado z jajcem in sirom,Zdravo in vegi,1,M. J.,4,10,15,25,737,153.73,262.5
Jajčni mafini,Na hitro,1,M. J.,6,10,15,25,978,220.66,251.0
Svinjski trakovi v smetanovi omaki z gobicami,Meso,1,M. J.,7,10,25,35,1006,101.87,200.0
Kruhov narastek z jabolki in orehi,Slovenska,1,M. J.,11,30,45,75,1123,194.39,376.67
Pečen sladki krompir s sirom in slanino,Zima,1,M. J.,6,5,60,65,1534,426.05,126.75
Limetina pita,Zabava,1,M. J.,8,210,25,235,1216,392.62,560.13
Klobase v omaki s fižolom,Slovenska,1,M. J.,13,15,60,75,1062,187.38,409.25
Piščančja bedra v gorčični omaki z gobicami,Na hitro,1,M. J.,11,10,25,35,928,156.04,393.0
Rulada črni gozdiček,Slovenska,1,M. J.,8,30,20,50,1596,225.44,180.0
Crème brûlée s pomarančo,Zabava,2,M. J.,9,255,40,295,1450,347.47,158.67
Datljeve energijske kroglice,Zdravo in vegi,1,M. J.,12,20,,20,695,418.06,216.0
Juha z lečo in sladkim krompirjem,Zdravo in vegi,1,M. J.,11,10,25,35,1582,287.04,340.5
Presne čokoladne tablice,Zdravo in vegi,1,M. J.,11,45,,45,1215,599.89,327.6
Kvašeni polži z borovnicami in belo čokolado,Sladice,2,M. J.,13,90,40,130,1519,368.32,438.42
V pečici pečene piščančje prsi s sirovo omako,Glavne jedi,1,M. J.,9,10,40,50,790,255.67,486.83
Čokoladno-kokosova torta,Slovenska,2,M. J.,14,20,50,70,1388,440.7,587.1
Telečja jetra v smetanovi omaki,Slovenska,1,M. J.,7,10,20,30,910,163.47,306.5
Brazilska korenčkova torta s čokolado,Kuhinje,1,M. J.,9,15,45,60,1147,196.72,362.67
Fritata s porom in slanino,Na hitro,1,M. J.,8,12,20,32,1017,137.09,322.67
"Galeta s porom, bučo in feto",Jesen,2,M. J.,11,20,75,95,1726,175.93,526.33
Ocvrti lignji s poprom in soljo,Zabava,1,M. J.,5,15,15,30,1047,127.73,380.0
Limonina rižota z meto,Italijanska,2,M. J.,14,10,25,35,1366,338.05,486.0
Čokoladne tortice s tahinijem,Kuhinje,1,M. J.,9,20,14,34,1241,416.3,532.17
Rezanci s šampinjoni in gremolato,Italijanska,1,M. J.,9,10,20,30,1316,179.49,463.75
Presni cheesecake z jagodičevjem,Zdravo in vegi,1,M. J.,16,30,,30,1928,155.62,252.5
Presni čokoladni mousse,Zdravo in vegi,1,M. J.,8,70,,70,809,213.29,220.75
Svinjski kotleti z zelišči,Italijanska,1,M. J.,11,10,20,30,960,176.06,404.5
Angleška krema,Na hitro,2,M. J.,4,10,10,20,866,341.64,80.0
Rostbif po angleško,Božič in novo leto,1,M. J.,6,200,40,240,1248,283.3,506.17
Školjčna juha s smetano,Valentinovo,1,M. J.,13,25,20,45,1390,109.18,248.33
V kosu pečena cvetača z mandljevo omako,Zdravo in vegi,2,M. J.,11,20,90,110,1526,165.81,360.67
Grška jogurtova omaka z zelišči,Piknik in žar,1,M. J.,7,15,,15,510,353.97,127.5
Pečen ananas s sladoledom in rumovim sirupom,Zabava,1,M. J.,11,15,20,35,1252,84.44,353.0
Pomarančne rezine,Zabava,2,M. J.,17,45,30,75,1901,194.84,262.73
Cheesecake s pomarančami,Zabava,1,M. J.,9,245,,245,1151,393.53,326.7
Browniji Katharine Hepburn,Kuhinje,1,M. J.,9,15,35,50,891,391.4,273.0
Pečen brstični ohrovt s česnom,Zima,1,M. J.,5,7,25,32,1001,95.42,114.5
Cvetačni narastek s paradižnikom in kozjim sirom,Vegetarijanstvo,2,M. J.,9,15,60,75,1537,91.89,297.25
Rebrasti krompirček s kislo smetano in slanino,Zelenjava,1,M. J.,6,15,45,60,1049,84.68,348.25
Dušena jabolka z odišavljeno smetano,Na hitro,1,M. J.,7,10,15,25,949,79.61,123.75
Veganski ohrovtov čips,Zdravo in vegi,1,M. J.,7,20,20,40,1504,136.98,256.5
